Joueur,Equipe_principale,Poste_simplifie,Score_Forme,Matchs,Minutes,Buts,Passes_decisives,Matchs_6_derniers
Virgil van Dijk,Liverpool,DEF,5.49,24,2160,1,0,6
Elliot Anderson,Nottingham Forest,MID,5.6,24,2160,1,2,6
Bernd Leno,Fulham,GK,6.0,24,2160,0,0,6
Jordan Pickford,Everton,GK,6.0,24,2160,0,0,6
James Tarkowski,Everton,DEF,5.06,24,2160,0,1,6
Nikola Milenkovic,Nottingham Forest,DEF,4.8,24,2160,0,0,6
Martin Dubravka,Burnley,GK,6.0,24,2160,0,0,6
Dean Henderson,Crystal Palace,GK,6.0,24,2160,0,0,6
Caoimhin Kelleher,Brentford,GK,6.04,24,2160,0,0,6
Maxence Lacroix,Crystal Palace,DEF,5.02,24,2160,0,2,6
Guglielmo Vicario,Tottenham,GK,6.0,24,2160,0,0,6
David Raya,Arsenal,GK,6.0,24,2160,0,0,6
Bart Verbruggen,Brighton,GK,6.0,24,2160,0,0,6
Djordje Petrovic,Bournemouth,GK,6.0,24,2160,0,0,6
Robin Roefs,Sunderland,GK,6.0,24,2160,0,0,6
James Garner,Everton,MID,5.67,24,2157,2,3,6
Jarrod Bowen,West Ham,MID,8.18,24,2156,8,2,6
Morgan Rogers,Aston Villa,MID,6.72,24,2150,7,5,6
Tyrick Mitchell,Crystal Palace,MID,5.07,24,2137,1,0,6
Adrien Truffert,Bournemouth,DEF,4.87,24,2131,0,1,6
Luke Shaw,Manchester United,DEF,4.98,24,2116,0,1,6
Neco Williams,Nottingham Forest,DEF,4.56,24,2114,1,1,6
Michael Kayode,Brentford,DEF,5.12,24,2111,0,0,6
Morgan Gibbs-White,Nottingham Forest,MID,8.17,24,2080,6,2,6
Jan Paul van Hecke,Brighton,DEF,5.43,23,2070,3,2,6
Dominik Szoboszlai,Liverpool,MID,7.25,23,2066,3,2,6
Kyle Walker,Burnley,MID,5.76,23,2059,0,2,6
Matty Cash,Aston Villa,DEF,5.56,23,2053,3,2,6
Ezri Konsa Ngoyo,Aston Villa,DEF,5.03,23,2046,0,0,6
Jake O Brien,Everton,DEF,5.0,24,2041,0,1,6
Marcos Senesi,Bournemouth,DEF,5.52,23,2038,0,4,6
Thiago,Brentford,FWD,7.83,24,2032,16,1,6
Erling Haaland,Manchester City,FWD,6.34,24,2031,20,5,6
Martín Zubimendi,Arsenal,MID,6.29,24,2025,4,1,6
Joachim Andersen,Fulham,DEF,5.68,23,2021,0,1,6
Trevoh Chalobah,Chelsea,DEF,4.81,23,2020,3,0,6
Nathan Collins,Brentford,MID,5.34,24,2020,1,2,6
Lewis Dunk,Brighton,DEF,5.05,23,2020,0,0,6
Sander Berge,Fulham,MID,5.05,24,2008,0,1,6
Ibrahima Konaté,Liverpool,DEF,5.71,23,1992,1,0,6
Robert Sánchez,Chelsea,GK,6.0,23,1984,0,1,6
Enzo Fernández,Chelsea,MID,8.5,23,1981,8,2,6
Marc Guehi,Manchester City,DEF,5.21,22,1980,2,2,6
Nordi Mukiele,Sunderland,DEF,6.52,22,1976,1,3,6
Declan Rice,Arsenal,MID,6.48,23,1973,4,3,6
Micky van de Ven,Tottenham,DEF,6.04,22,1973,4,1,6
Trai Hume,Sunderland,DEF,4.97,24,1969,0,1,6
Granit Xhaka,Sunderland,MID,5.35,22,1965,1,5,6
Ryan Gravenberch,Liverpool,MID,5.12,22,1946,4,2,6
Jean-Philippe Mateta,Crystal Palace,FWD,5.81,23,1938,8,0,6
Gabriel Gudmundsson,Leeds,MID,4.91,23,1934,0,0,6
Jurriën Timber,Arsenal,DEF,5.38,23,1923,2,3,6
Joe Rodon,Leeds,DEF,4.64,22,1920,2,0,6
Pascal Struijk,Leeds,DEF,5.38,22,1894,0,1,6
Pedro Neto,Chelsea,MID,5.03,24,1890,5,3,6
Gianluigi Donnarumma,Manchester City,GK,6.0,21,1890,0,0,6
Kevin Schade,Brentford,MID,5.88,23,1886,6,3,6
Ferdi Kadioglu,Brighton,DEF,5.44,23,1885,0,0,6
Enzo Le Fée,Sunderland,MID,6.38,23,1870,3,4,6
Ethan Ampadu,Leeds,MID,5.66,21,1870,1,1,6
Jayden Bogle,Leeds,MID,4.51,22,1861,0,1,6
João Gomes,Wolverhampton Wanderers,MID,4.99,23,1858,0,0,6
Bruno Guimarães,Newcastle United,MID,8.69,21,1842,8,3,6
Pedro Porro,Tottenham,MID,5.74,23,1832,0,2,6
Harry Wilson,Fulham,MID,7.02,23,1822,8,4,6
Bruno Fernandes,Manchester United,MID,9.52,21,1822,5,12,6
Alphonse Areola,West Ham,GK,6.0,20,1800,0,1,6
Yehor Yarmolyuk,Brentford,MID,4.73,24,1797,1,2,6
Maxime Estève,Burnley,DEF,4.39,21,1797,0,0,6
Vitalii Mykolenko,Everton,DEF,5.21,20,1797,0,0,6
Chris Richards,Crystal Palace,DEF,5.6,20,1794,1,0,6
Marcus Tavernier,Bournemouth,MID,6.86,22,1792,5,3,6
Mateus Fernandes,West Ham,MID,6.48,22,1787,3,2,6
Ollie Watkins,Aston Villa,FWD,8.45,23,1780,8,1,6
Bernardo Silva,Manchester City,MID,6.92,24,1778,0,4,6
Michael Keane,Everton,DEF,5.88,20,1770,3,0,6
Adam Wharton,Crystal Palace,MID,4.92,21,1766,0,2,6
Malick Thiaw,Newcastle United,DEF,5.11,21,1764,3,0,6
Marc Cucurella,Chelsea,MID,5.05,22,1763,1,2,6
Emiliano Martinez,Aston Villa,GK,5.56,20,1757,0,0,6
Matheus Nunes,Manchester City,DEF,5.43,21,1755,1,4,6
Alex Scott,Bournemouth,MID,6.88,24,1745,2,1,6
João Pedro,Chelsea,MID,7.06,24,1742,9,4,6
Omar Alderete,Sunderland,DEF,5.11,20,1740,1,1,6
Florian Wirtz,Liverpool,MID,8.3,23,1719,4,2,6
Evanilson,Bournemouth,FWD,7.45,22,1714,5,0,6
Sandro Tonali,Newcastle United,MID,4.59,24,1714,0,1,6
Anton Stach,Leeds,MID,6.25,21,1712,3,3,6
Alisson,Liverpool,GK,6.0,19,1710,0,0,6
Rúben Dias,Manchester City,DEF,5.03,20,1704,2,0,6
Yasin Ayari,Brighton,MID,7.58,21,1702,3,2,6
Nico O Reilly,Manchester City,MID,4.2,23,1698,1,3,6
Noah Sadiki,Sunderland,MID,4.8,19,1693,0,0,6
Cristian Romero,Tottenham,DEF,5.74,20,1686,4,1,6
Diogo Dalot,Manchester United,DEF,5.07,22,1684,1,2,6
André,Wolverhampton Wanderers,MID,4.55,23,1683,0,0,6
Matz Sels,Nottingham Forest,GK,4.75,20,1682,0,0,6
Sepp van den Berg,Brentford,DEF,4.49,19,1674,0,0,6
John McGinn,Aston Villa,MID,5.42,22,1663,3,2,6
Bryan Mbeumo,Manchester United,FWD,7.82,19,1657,8,1,6
Phil Foden,Manchester City,MID,4.0,22,1653,7,2,6
Jack Grealish,Everton,MID,6.17,20,1645,2,6,6
Milos Kerkez,Liverpool,DEF,5.44,23,1643,1,1,6
Yankuba Minteh,Brighton,MID,4.0,22,1626,1,4,6
Senne Lammens,Manchester United,GK,6.0,18,1620,0,0,6
William Saliba,Arsenal,DEF,5.08,20,1619,0,0,6
Nick Pope,Newcastle United,GK,6.0,18,1612,0,0,6
Casemiro,Manchester United,MID,7.11,22,1604,5,2,6
Yeremi Pino,Crystal Palace,FWD,5.66,22,1603,2,1,6
Moisés Caicedo,Chelsea,MID,4.87,19,1595,3,1,6
Raúl Jiménez,Fulham,FWD,7.84,23,1592,6,3,6
Chimuanya Ugochukwu,Burnley,MID,4.63,23,1583,3,0,6
Cody Gakpo,Liverpool,MID,5.57,22,1582,5,3,6
Dominic Calvert-Lewin,Leeds,FWD,6.36,22,1581,9,1,6
Ladislav Krejcí,Wolverhampton Wanderers,DEF,5.0,18,1579,2,1,6
Alexis Mac Allister,Liverpool,MID,4.21,23,1579,0,2,6
Mohammed Kudus,Tottenham,MID,4.13,19,1577,2,5,6
Florentino Luís,Burnley,MID,5.15,20,1560,0,2,6
Bukayo Saka,Arsenal,FWD,5.57,21,1553,4,3,6
Max Kilman,West Ham,MID,4.0,21,1552,0,0,6
Murillo,Nottingham Forest,DEF,5.03,18,1551,1,0,6
Alex Iwobi,Fulham,MID,5.51,18,1550,2,2,6
Jaidon Anthony,Burnley,MID,5.35,23,1546,5,1,6
Iliman Ndiaye,Everton,MID,5.55,18,1545,4,2,6
Lucas Paquetá,West Ham,MID,6.74,18,1544,4,1,6
Gabriel,Arsenal,DEF,5.53,18,1537,3,2,6
Josh Cullen,Burnley,MID,5.17,18,1533,2,2,6
Jean-Clair Todibo,West Ham,DEF,4.91,18,1531,0,1,6
Djed Spence,Tottenham,MID,4.46,20,1527,0,0,6
Brenden Aaronson,Leeds,MID,6.32,23,1516,4,3,6
Reece James,Chelsea,MID,4.0,23,1507,2,4,6
Dan Ballard,Sunderland,DEF,4.78,20,1489,2,0,6
Viktor Gyokeres,Arsenal,FWD,5.67,22,1485,6,0,6
Amad Diallo Traore,Manchester United,MID,6.19,18,1482,2,2,6
El Hadji Malick Diouf,West Ham,DEF,4.26,18,1481,0,3,6
Matheus Cunha,Manchester United,MID,6.06,21,1477,6,2,6
Diego Gómez,Brighton,FWD,5.38,21,1461,3,0,6
Georginio Rutter,Brighton,FWD,4.0,22,1445,2,2,6
Alejandro Jiménez,Bournemouth,MID,5.86,20,1443,1,0,6
Tijjani Reijnders,Manchester City,MID,4.0,23,1442,5,2,6
Crysencio Summerville,West Ham,MID,7.58,19,1440,3,1,6
Rodrigo Bentancur,Tottenham,MID,4.83,20,1440,1,1,6
Lucas Perri,Leeds,GK,6.0,16,1440,0,0,6
Boubacar Kamara,Aston Villa,MID,5.57,18,1434,1,3,6
Jordan Henderson,Brentford,MID,4.0,22,1431,1,3,6
Daniel Muñoz,Crystal Palace,MID,6.19,16,1428,3,2,6
Hugo Bueno,Wolverhampton Wanderers,MID,5.63,21,1425,0,1,6
Nick Woltemade,Newcastle United,MID,4.0,21,1412,7,2,6
Jørgen Strand Larsen,Wolverhampton Wanderers,MID,4.0,22,1409,1,1,6
Igor Jesus,Nottingham Forest,FWD,5.38,23,1397,2,1,6
Thierno Barry,Everton,FWD,7.67,24,1394,5,0,6
Kiernan Dewsbury-Hall,Everton,MID,4.84,17,1390,4,2,6
João Palhinha,Tottenham,DEF,4.46,21,1383,3,2,6
Joelinton,Newcastle United,MID,5.44,19,1377,2,0,6
Nico González,Manchester City,MID,4.0,20,1368,1,0,6
Mohamed Salah,Liverpool,MID,8.18,16,1366,4,5,6
Hugo Ekitike,Liverpool,FWD,8.18,21,1365,10,2,6
Dan Burn,Newcastle United,DEF,4.57,16,1360,0,2,6
Danny Welbeck,Brighton,FWD,5.01,23,1357,8,0,6
Kenny Tete,Fulham,DEF,4.33,16,1356,1,0,6
Calvin Bassey,Fulham,MID,4.71,17,1353,1,0,6
Leandro Trossard,Arsenal,MID,4.67,20,1352,5,4,6
Konstantinos Mavropanos,West Ham,DEF,4.77,17,1347,0,0,6
Quilindschy Hartman,Burnley,DEF,5.09,15,1346,0,4,6
Callum Hudson-Odoi,Nottingham Forest,MID,4.65,22,1344,3,1,6
Patrick Dorgu,Manchester United,MID,8.02,22,1327,3,3,6
Malo Gusto,Chelsea,DEF,4.08,21,1327,2,2,6
Riccardo Calafiori,Arsenal,MID,4.0,17,1311,1,2,6
Mikkel Damsgaard,Brentford,MID,4.32,20,1311,1,3,6
Josko Gvardiol,Manchester City,DEF,4.58,16,1307,2,2,6
Youri Tielemans,Aston Villa,MID,6.17,17,1302,0,4,6
Santiago Bueno,Wolverhampton Wanderers,DEF,5.06,15,1289,2,0,6
Aaron Wan-Bissaka,West Ham,DEF,6.59,15,1289,0,2,6
Anthony Gordon,Newcastle United,FWD,6.12,19,1284,3,1,6
Bafode Diakite,Bournemouth,MID,4.0,18,1276,0,0,6
Richarlison,Tottenham,MID,5.16,21,1252,7,3,6
Ryan Sessegnon,Fulham,MID,4.0,17,1252,2,1,6
Reinildo,Sunderland,DEF,5.29,15,1251,0,1,6
Idrissa Gueye,Everton,MID,5.71,15,1234,2,1,6
Lucas Digne,Aston Villa,MID,4.0,22,1232,0,4,6
Tyler Adams,Bournemouth,MID,4.41,15,1226,2,1,6
Xavi Simons,Tottenham,MID,6.93,18,1218,1,4,6
Jackson Tchatchoua,Wolverhampton Wanderers,MID,4.28,22,1218,0,0,6
Sasa Lukic,Fulham,MID,4.74,19,1215,1,2,6
Pau Torres,Aston Villa,DEF,4.84,15,1215,0,0,6
Dango Ouattara,Brentford,MID,5.15,18,1213,4,0,6
Ismaila Sarr,Crystal Palace,MID,6.55,14,1202,4,1,6
Harvey Barnes,Newcastle United,FWD,6.04,23,1197,5,0,6
Lewis Hall,Newcastle United,DEF,5.3,17,1197,0,1,6
Daichi Kamada,Crystal Palace,MID,4.92,14,1195,0,0,6
Jéremy Doku,Manchester City,MID,4.0,20,1190,1,4,6
Hjalmar Ekdal,Burnley,MID,4.06,15,1185,0,0,6
Noah Okafor,Leeds,MID,4.0,21,1183,2,0,6
Kristoffer Ajer,Brentford,DEF,4.45,18,1183,0,1,6
Mats Wieffer,Brighton,MID,4.88,16,1183,0,3,6
